cam1,cam2,cam3,exp,off,gain,n_img
# 1st set
r,g,b,1,100,0,5
r,g,b,0.5,100,0,3
r,g,b,0.1,100,0,1
r,g,b,0.05,100,0,1
r,g,b,0.01,100,0,1
r,g,b,0.005,100,0,1
r,g,b,0.001,100,0,1
# 2nd Set
r,g,b,1,100,1,1
r,g,b,0.5,100,1,1
r,g,b,0.1,100,1,1
r,g,b,0.05,100,1,1
r,g,b,0.01,100,1,1
r,g,b,0.005,100,1,1
r,g,b,0.001,100,1,1
